;;;Interrupt;;;;Polling;
Bez;inc;Soll;Int LB 1;Int LB 2;Int LB 11-21;Int LB 12-22;Puls LB 1;Puls LB 2
Geschwindigkeit [km/h]:;149;188.5;195.18;192.86;193.82;192.18;191.29;196.07
Geschwindigkeit [km/h]:;150;188.5;195.18;192.86;195.48;193.82;197.41;188.78
Geschwindigkeit [km/h]:;151;188.5;195.77;192.86;193.82;191.77;198.47;189.61
Geschwindigkeit [km/h]:;152;188.5;195.77;192.86;194.23;192.18;198.47;195.03
Geschwindigkeit [km/h]:;153;188.5;201.87;193.43;199.34;193.4;197.56;195.03
Geschwindigkeit [km/h]:;154;188.5;201.87;192.86;196.33;190.17;198.77;194.89
Geschwindigkeit [km/h]:;155;188.5;195.77;192.86;197.61;195.48;197.56;196.21
Geschwindigkeit [km/h]:;156;188.5;195.77;199.38;193.82;196.33;204.26;194.89
Geschwindigkeit [km/h]:;157;188.5;195.18;193.43;195.06;193.82;191.29;188.78
Geschwindigkeit [km/h]:;158;188.5;195.18;199.38;192.58;195.48;198.77;195.92
Geschwindigkeit [km/h]:;159;188.5;201.87;192.86;195.91;189.77;197.56;197.11
Geschwindigkeit [km/h]:;160;188.5;195.77;192.86;197.61;195.48;198.47;195.92
Geschwindigkeit [km/h]:;161;188.5;195.18;192.86;194.23;192.58;192.14;195.03
Geschwindigkeit [km/h]:;162;188.5;189.47;192.86;195.48;198.04;192.14;195.03
Geschwindigkeit [km/h]:;163;188.5;188.92;192.86;192.18;195.06;198.77;196.07
Geschwindigkeit [km/h]:;164;188.5;201.87;192.86;197.61;191.37;197.56;202.66
Geschwindigkeit [km/h]:;165;188.5;189.47;192.86;188.98;191.37;191.29;194.89
Geschwindigkeit [km/h]:;166;188.5;189.47;192.86;188.98;191.37;197.56;195.03
Geschwindigkeit [km/h]:;167;188.5;195.77;186.74;194.65;188.2;198.77;195.03
Geschwindigkeit [km/h]:;168;188.5;195.18;193.43;191.37;190.17;197.56;196.96
Geschwindigkeit [km/h]:;169;188.5;195.18;192.86;192.58;190.97;191.29;189.61
Geschwindigkeit [km/h]:;170;188.5;189.47;192.86;189.38;191.77;198.47;195.92
Geschwindigkeit [km/h]:;171;188.5;195.18;192.86;195.06;193.4;199.69;195.92
Geschwindigkeit [km/h]:;172;188.5;195.77;186.74;196.75;190.17;206.53;196.21
Geschwindigkeit [km/h]:;173;188.5;201.87;192.86;197.18;190.97;192;195.92
Geschwindigkeit [km/h]:;174;188.5;188.92;192.86;193.82;196.75;197.41;194.89
Geschwindigkeit [km/h]:;175;188.5;195.77;192.86;198.91;196.75;204.09;195.03
Geschwindigkeit [km/h]:;176;188.5;188.92;193.43;194.23;197.61;205.39;201.56
Geschwindigkeit [km/h]:;177;188.5;201.87;192.86;195.48;189.38;191.29;196.07
Geschwindigkeit [km/h]:;178;188.5;195.18;192.86;195.91;194.23;197.41;195.92
Geschwindigkeit [km/h]:;179;188.5;195.77;192.86;192.18;190.17;191.29;195.77
Geschwindigkeit [km/h]:;180;188.5;189.47;192.86;192.58;195.06;199.54;202.5
Geschwindigkeit [km/h]:;181;188.5;195.18;192.86;195.48;193.82;192.28;197.11
Geschwindigkeit [km/h]:;182;188.5;195.18;192.86;192.58;190.97;198.47;196.07
Geschwindigkeit [km/h]:;183;188.5;195.77;193.43;193.4;191.77;192.14;194.89
Geschwindigkeit [km/h]:;184;188.5;195.18;193.43;193.82;192.58;197.41;201.56
Geschwindigkeit [km/h]:;185;188.5;196.36;187.28;199.34;192.58;192.43;196.07
Geschwindigkeit [km/h]:;186;188.5;195.77;193.43;196.33;194.65;197.56;196.07
Geschwindigkeit [km/h]:;187;188.5;195.18;193.43;193.4;192.18;197.56;194.89
Geschwindigkeit [km/h]:;188;188.5;201.87;192.86;195.91;189.77;197.56;195.92
Geschwindigkeit [km/h]:;189;188.5;201.24;192.86;198.04;192.18;198.62;195.77
Geschwindigkeit [km/h]:;190;188.5;195.77;192.86;195.06;192.99;199.69;203.77
Geschwindigkeit [km/h]:;191;188.5;195.18;192.86;195.48;193.82;192.14;195.92
Geschwindigkeit [km/h]:;192;188.5;195.18;186.74;197.61;191.37;192.14;194.89
Geschwindigkeit [km/h]:;193;188.5;195.77;192.86;194.23;192.18;197.56;201.56
Geschwindigkeit [km/h]:;194;188.5;195.77;193.43;195.06;193.4;198.62;195.03
Geschwindigkeit [km/h]:;195;188.5;195.18;193.43;195.48;194.23;197.56;196.07
Geschwindigkeit [km/h]:;196;188.5;195.77;192.86;195.48;193.4;191.29;195.03
Geschwindigkeit [km/h]:;197;188.5;195.77;199.38;192.18;194.65;204.09;194.89
Geschwindigkeit [km/h]:;198;188.5;195.77;192.86;192.99;190.97;198.77;202.5
Geschwindigkeit [km/h]:;199;188.5;189.47;193.43;193.4;196.33;197.56;196.96
Geschwindigkeit [km/h]:;200;188.5;195.18;193.43;193.4;192.18;205.23;189.89
Geschwindigkeit [km/h]:;201;188.5;189.47;192.86;193.82;196.33;198.62;195.77
Geschwindigkeit [km/h]:;202;188.5;195.77;192.86;193.82;191.77;198.47;201.56
Geschwindigkeit [km/h]:;203;188.5;189.47;199.38;190.17;197.18;198.62;196.07
Geschwindigkeit [km/h]:;204;188.5;195.18;199.38;192.58;195.48;204.26;196.07
Geschwindigkeit [km/h]:;205;188.5;195.77;192.86;194.23;192.18;197.56;195.03
Geschwindigkeit [km/h]:;206;188.5;188.92;186.74;195.06;193.4;197.56;201.56
Geschwindigkeit [km/h]:;207;188.5;195.18;186.74;196.75;190.57;192.43;195.03
Geschwindigkeit [km/h]:;208;188.5;188.92;186.74;193.4;191.77;197.56;197.11
Geschwindigkeit [km/h]:;209;188.5;195.18;192.86;195.06;193.4;197.41;195.92
Geschwindigkeit [km/h]:;210;188.5;195.18;186.74;196.75;190.57;198.47;195.92
Geschwindigkeit [km/h]:;211;188.5;189.47;193.43;192.99;195.91;199.69;195.03
Geschwindigkeit [km/h]:;212;188.5;195.18;192.86;198.47;196.75;199.69;196.07
Geschwindigkeit [km/h]:;213;188.5;195.77;193.43;194.23;192.58;197.56;194.89
Geschwindigkeit [km/h]:;214;188.5;195.77;186.74;195.91;189.38;198.47;196.96
Geschwindigkeit [km/h]:;215;188.5;188.92;187.28;196.75;195.48;198.47;196.07
Geschwindigkeit [km/h]:;216;188.5;195.18;192.86;193.82;192.18;198.47;194.89
Geschwindigkeit [km/h]:;217;188.5;189.47;192.86;189.38;191.77;197.56;195.03
Geschwindigkeit [km/h]:;218;188.5;195.18;192.86;194.65;192.99;192.28;196.07
Geschwindigkeit [km/h]:;219;188.5;189.47;187.28;194.23;192.58;197.56;196.07
